周期,起始日,结束日,交易日,信号次数,收盘方向胜率,日内上涨胜率,平均收盘收益,平均日内收益
近1个月,2026-06-24,2026-07-24,21,10,0.5,0.6,-0.0015800000000000054,0.010961097733513813
近1季度,2026-04-24,2026-07-24,60,23,0.6086956521739131,0.7391304347826086,0.008156521739130434,0.016216841246851438
近半年,2026-01-26,2026-07-24,116,50,0.58,0.68,0.004598,0.009273234158281317
近1年,2025-07-24,2026-07-24,240,104,0.5865384615384616,0.7019230769230769,0.0052557692307692305,0.009167514225518165
上市以来,2024-06-19,2026-07-24,506,236,0.5550847457627118,0.614406779661017,0.0021033898305084747,0.004164040909493426
